id_discharge,target,formula_discharge
mp-1021323,358.2766388130971,LiC12
mp-1001581,367.0483961834685,LiC6
mp-1096733,81.06464025564127,Li2InBi
mp-1096344,58.99709552779269,Na2InBi
mp-1097580,80.21975366961452,Li2TlSb
mp-976148,549.5141853948974,K2RbSb
mp-975275,703.8378781729037,RbNa2Sb
mp-33018,739.7069876249052,Rb3Sb
mp-1002568,554.0878029640184,MgMn2O4
mp-1003312,223.6588674364376,KMn4O8
mp-1003314,223.1860716175578,KMn2O4
mp-1002570,384.1163968881582,KMnO2
mp-1002571,255.99304488168704,NaMn2O4
mp-775113,480.5664694409441,NaMnO2
mp-1003769,904.5310695820336,Li3Mn4O8
mp-1016153,151.1202541643161,KMn8O16
mp-761493,50.28430625677779,KMn6O12
mp-1003319,303.7542194028415,CaMn8O16
mvc-12608,300.0561971830387,CaMn4O8
mvc-12108,992.4313344577254,CaMn2O4
mp-1016165,152.96730741821062,LiMn8O16
mp-1080219,677.909736162961,Li3Mn4O8
mvc-3728,857.8281628874722,MgMnO2
mp-32006,1113.2081670902694,MgMn2O4
mp-1080213,563.7491055885881,CaMn4O8
mp-1004038,493.4638451229024,CaMn2O4
mp-1004762,325.00031530239187,LiMn4O8
mp-1008555,539.5545894980912,AlCu3
mp-971941,5059.707150671055,Zn3Ni
mp-1095809,30.25687351805009,Cs2RbSb
mp-1009655,3186.5254655938065,CaC2
mp-1009730,1640.6292649956586,Ca2Sn
mp-1183468,810.2713604677538,Ca2ZnSn
mp-1222079,2660.4421030701205,Mg4SiSn
mp-975882,2210.4302686997835,Li3Cu
mvc-13560,344.2379564085733,Ca(VS2)4
mvc-11476,376.2535578394287,Mg(VS2)4
mvc-11418,385.0291737853877,V4ZnS8
mp-31149,2242.5168748843894,Ca3BiN
mp-1013546,1382.8517528007894,Ca3Sb2
mp-1013548,2305.944056873094,Ca3SbN
mp-1013735,1306.8124261264395,Ca3Bi2
mp-10159,850.4915063790573,K3Sb
mp-10179,630.252698763343,LiMgSbPd
mp-1018100,2205.357230021772,AlSb
mp-1093540,80.54125021560948,Li2GaBi
mp-571584,636.7908896588515,LiMgSbPt
mp-643067,973.8741244435612,Mg3Sn
mp-1222772,102.50936388820423,Li(TiTe2)5
mp-973614,762.1993117678078,K3Sn
mp-1183200,5121.226550027491,Al3Sn
mp-1185265,1878.6607014365777,Li3Sn
mp-2343,2248.100862255422,Mg2Sn
mp-1094199,1921.6217202138428,Mg5Sn
mp-864742,1168.3242849013943,Na3Sn
mp-974789,660.2939739655061,Rb3Sn
mp-10378,653.2028912783866,Cs3Sb
mp-1038921,2429.097784503181,Mg5Bi
mp-1039048,2283.476431756132,Mg2Bi
mp-1039154,1658.7880876462418,MgBi
mp-1039073,1794.8522253095648,Mg3Bi
mp-1185557,3803.1790980598935,Mg149Bi
mp-1039075,896.345702586945,Mg3Bi
mp-1039188,1630.2392948053136,MgBi
mp-1045019,1185.3986533887382,AlV3O6
mp-19456,594.3817151852651,AlV2O4
mp-1049288,630.5197640601468,CaHo(SbO3)2
mp-1049228,654.8203372384244,HoMg(SbO3)2
mp-1040786,961.2182345216154,Zn(WO2)2
mp-1044893,529.3695302450689,Ba2YV2F11
mvc-10962,527.8289467504401,CaCr4O8
mvc-9988,846.7818241225467,Ca(WO2)2
mp-1048840,585.4482442182009,CaHo(BiO3)2
mp-1049207,611.0223810027596,HoMg(BiO3)2
mp-1040970,1092.2819204068494,Ca(NiO2)2
mp-1049052,541.4092950399729,Ba2YCo2F11
mp-1048301,402.1871697671969,CaTi2Be3(SiO4)3
mp-1047872,406.6046500168108,MgTi2Be3(SiO4)3
mp-1047879,400.4050864086969,Ti2Be3Zn(SiO4)3
mp-1044973,304.45246732981167,Ca5(TiS2)8
mp-1044962,297.38654204188,Ca7(TiS2)8
mp-1044915,554.450397492889,Ba2YNi2F11
mp-1041219,269.2709986174926,CaBi3P3O13
mp-1041248,582.5198458099848,BaMgBiF7
mp-1044444,419.4214447617756,BaCaV4O8
mp-1044203,462.417332492048,BaMgV4O8
mp-1044331,459.77329461023095,BaV4ZnO8
mvc-10486,860.9028023599657,Ca(WO2)2
mp-1044468,432.38588023935966,BaCaCr4O8
mp-1044283,478.90030018201486,BaMgCr4O8
mp-1044490,476.2312406074785,BaZnCr4O8
mp-1044463,446.4999351369517,BaCa(CoO2)4
mp-1044533,496.5538218491076,BaMg(CoO2)4
mp-1044544,427.2132487305914,BaCaMn4O8
mp-1044300,470.227079121204,BaMgMn4O8
mp-1044381,470.3022859341788,BaMn4ZnO8
mp-1041314,578.3490114601514,BaZnBiF7
mp-1041326,576.385640848771,BaZnSbF7
mp-1041343,543.0295519071638,BaCaSbF7
mp-779972,2219.459140321981,ZnCoO2
mvc-15479,604.6963012203673,CaLa2WO6
mvc-15459,677.4413064843826,La2MgWO6
mvc-15420,667.5311365795366,La2ZnWO6
mp-1041414,474.9688064247132,CaW4O9
mp-1041433,709.2809331446,Ba2YMn3O8
mp-1048070,396.8015153370597,BaCa(WO2)4
mp-1044474,425.6519212771983,BaMg(WO2)4
mp-1044892,422.98750612542057,BaZn(WO2)4
mvc-10494,500.76527986257696,CaCr2(CuO4)2
mp-1041472,995.3483861739778,MnAl(WO4)2
mp-1046905,713.2545666908039,Sr2YMn2AlO7
mp-1041483,800.3167495263606,Zn3Co3(AsO4)4
mp-1213897,766.7062153218751,CaWO2
mp-1046808,779.3435119180596,Sr2YAlNi2O7
mp-1041853,394.4741391183088,YCr3F15
mp-1041629,1306.961932362355,Mg(CoO2)2
mp-1041642,762.7084808397346,Mg(SbO2)2
mp-1041685,1019.7025815906618,AlCo(WO4)2
mp-1041687,1066.160768335571,Mg(MoO2)2
mp-1041889,1004.5264512239282,Mg(MoO2)2
mp-1041899,1114.7576900015652,V2ZnO4
mp-1041926,739.530829702349,Ba2Ti3AlO8
mp-769657,1308.6734478281912,Mg(CoO2)2
mp-1041934,996.1794385815728,Zn(MoO2)2
mp-1041949,1016.9464413386174,CaV2O4
mp-554694,1032.706286386158,CaCr2O4
mvc-12547,1160.5643724818597,MgCr2O4
mvc-12607,1143.5495120782512,ZnCr2O4
mp-1041967,1190.291482014945,Zn(CoO2)2
mvc-15041,1099.2011092366197,Ca(NiO2)2
mvc-12895,1250.2929043857816,Mg(NiO2)2
mp-1176434,562.3174860599478,Na(NiO2)2
mp-971634,535.1491961495408,NaNiO2
mvc-12561,1237.660371479339,Zn(NiO2)2
mp-1045074,1288.899528864095,Al(CoO2)3
mp-761552,633.5288052473757,Al(CoO2)2
mp-1041996,912.757480252047,Ca(MoO2)2
mp-1042245,874.3209235733158,Ca(MoO2)2
mp-1042131,960.1476694837572,Mg(MoO2)2
mp-1042144,956.1209285588671,Zn(MoO2)2
mvc-5741,1096.713529052583,Ca(NiO2)2
mvc-5456,1260.1210191704051,Mg(NiO2)2
mvc-6205,1225.5015624121436,Zn(NiO2)2
mp-1214054,758.4638724526385,CaMoO2
mp-1042087,937.5499175560795,Mg(WO2)2
mp-1042151,991.334357693533,BaYCuSbO5
mp-1042158,853.7083596170786,Ca(WO2)2
mp-1042580,619.2758400131114,Ba2AlSb3O8
mvc-672,575.1018102387608,Ba2YSb3O8
mp-1042254,446.07514612217545,Zn(SnO2)2
mp-1042262,994.0838074313192,CaMn2O4
mvc-694,1028.0078741493087,AlNi(WO4)2
mp-1042392,816.6237155228824,MgBiSbO5
mvc-6749,527.3820949284124,ZnCuW2O7
mp-1042479,1023.821229325952,BaYCuWO5
mp-1042547,763.6152528639286,Sr2YFeCu2O7
mp-1042551,1146.7246898308051,Ca(NiO2)2
mp-1042559,733.3817866960043,Sr2YGaFe2O7
mvc-12638,594.2259278488008,Mg(NiO2)2
mp-1042608,435.6662973706796,MgTi4(CuO4)3
mp-1042702,772.1565947955283,Sr2YCu2NiO7
mp-1043030,598.7150118401877,CaSn(GeO3)2
mvc-8032,491.37861330423823,Zn3Fe4(MoO4)6
mp-1042977,687.58934115389,MgBi2O5
mvc-8027,1087.840158539591,Zn2W3O8
mvc-8026,519.1192241613871,Ca3Cr6(FeO6)4
mvc-7826,561.4699280219637,Mg3Cr6(FeO6)4
mvc-7999,537.5739720662257,Zn3Cr6(FeO6)4
mp-1043436,733.1130919045183,Sr2YCu2MoO7
mvc-8321,451.11764338264345,MgCr4(CuO4)3
mp-565634,364.9115432813993,NaV(GeO3)2
mp-1043218,723.1546964050624,VZn(GeO3)2
mp-1043308,716.2369651627931,ZnCr(GeO3)2
mp-1043356,684.9124299083527,CaCr(GeO3)2
mp-1043375,404.97942227415376,MgSi4SnO10
mp-1043445,694.5687023649757,MnZn(GeO3)2
mp-1188169,377.86684147629694,LiFe(GeO3)2
mp-24991,362.8548727714547,NaFe(GeO3)2
mp-1043569,441.1686377928202,CaSb2(PO5)2
mp-1043585,411.32859176726015,CaBi2(PO5)2
mvc-8316,554.9024222981171,MnZnNiP2O9
mp-1043624,435.2117305412724,Mg(SbO2)4
mp-1043628,454.0817030291278,Zn(SnO2)4
mp-1043644,463.0208197413807,Mg(SnO2)4
mp-1043686,607.7620281277862,CaBiSbO5
mp-1043664,388.128649986621,Ca(SbO2)4
mp-1043668,441.30224518106144,Zn(SbO2)4
mp-1043673,406.6344916702387,Ca(SnO2)4
mp-850492,223.0471760574336,LiMn(Si2O5)2
mvc-8742,464.96711186042046,CaNiBiP2O9
mvc-8698,478.5086914592,ZnNiBiP2O9
mvc-1257,704.6920588709166,Sr2YVCu2O7
mp-1043864,682.4973735148744,CaLaFeSbO6
mp-1046143,764.9039974607703,Sr2YGaNi2O7
mp-1044027,684.3621918221895,CaLaFeWO6
mvc-8343,517.2468321376886,CaCrNiP2O9
mvc-8414,543.6880359130674,MgCrNiP2O9
mp-1044403,473.1440715607044,BaZn(FeO2)4
mp-1044416,622.2002724706452,PrMg(SbO3)2
mp-1044422,587.1850100546689,PrMg(BiO3)2
mp-1044425,476.8727797998292,BaMg(FeO2)4
mp-1044443,605.0785675552224,CaPr(SbO3)2
mp-1044460,563.5949122926029,CaPr(BiO3)2
mp-1044480,667.0220611903075,PrMg(SnO3)2
mp-1044491,425.7719670993729,BaZn(MoO2)4
mp-1044508,637.77422111899,CaPr(SnO3)2
mp-1044540,430.3326673083917,BaMg(MoO2)4
mp-1044567,455.80346688784056,BaCa(NiO2)4
mp-1044577,501.371758494984,BaZn(NiO2)4
mp-1044582,791.2785776218396,Mg(BiO2)2
mp-1044601,712.7304674806388,Ca(BiO2)2
mp-1044619,880.8330348019991,Mg(SnO2)2
mp-1044676,1025.4746462635842,CaTi2O4
mp-1044693,760.1517111136233,Ca(SbO2)2
mp-1044745,397.52309707077467,BaCa(MoO2)4
mp-1049213,413.8013154863731,CaSn2P2O9
mp-1048843,422.5428855862049,MgSn2P2O9
mp-1044930,880.859862907186,Mg(SnO2)2
mp-1044964,303.70853891709135,Ca3(TiS2)4
mp-1044968,1219.748439572184,AlCr3O6
mp-773322,600.6788259085238,AlCr2O4
mvc-12616,609.6797381874293,Zn(NiO2)2
mp-1044996,1026.4701985942168,YV3O6
mp-1045003,720.5819301183452,Y2(CuO2)3
mvc-3436,292.0194164787554,Ba2CaTi2CuF14
mvc-2079,313.39694304282284,Ba2MgTi2CuF14
mp-1045008,686.5474707512086,Ba2AlW3O7
mp-1046696,734.618734611268,Sr2YAlCr2O7
mp-1045013,1197.641043476925,Ti3AlO6
mvc-10896,608.1930599377162,Ti2AlO4
mp-1045038,1059.2370378943513,YCr3O6
mvc-13339,489.4524070701642,YCr2O4
mp-1045059,1035.8709114758528,Y(FeO2)3
mvc-11640,495.3063072858377,Y(FeO2)2
mvc-11636,1579.1687497889975,Y(NiO2)2
mp-1116842,1474.442207559013,Ca2CrWO6
mvc-3975,643.6089636766545,CaSbO3
mvc-3953,723.5064035888726,ZnSbO3
mvc-3874,669.3850733377155,ZnBiO3
mp-755893,600.6681290801646,CaBiO3
mvc-11251,679.3970326049058,Ti2ZnS4
mp-1045417,642.1482584538359,Ca(CrS2)2
mvc-78,755.4883135026624,Mg(CoS2)2
mvc-98,798.6976577642167,Zn(CoS2)2
mvc-12970,742.9722907021908,Mg(FeS2)2
mvc-11272,374.2629476882976,Mg(MnS2)4
mvc-12966,324.9662842896444,Mg(MnS2)2
mp-1045494,1767.8793717331098,AlV2O4
mp-1045499,1455.7894830853984,YV2O4
mp-1222821,442.3211755881538,Li(NiO2)3
mp-769727,331.6698906934068,Li3(NiO2)4
mp-769454,195.26848040271665,Li9(NiO2)10
mp-772487,606.3738499834018,LiCrO2
mp-850464,279.7860826952631,Li5Cr4O8
mp-608885,1137.5683230514433,Mg(FeO2)2
mp-762411,391.7887129139557,LiMn3O6
mp-769728,97.5515280918102,Li3Mn4O8
mp-775236,289.7039387188625,LiMnO2
mp-1216233,433.7041295746207,Y2Ti12(CuO4)9
mp-759185,175.09259724936598,LiSb(PO3)4
mvc-12573,524.3166977594972,Zn(FeO2)2
mp-780888,326.0311446857087,Li(CoO2)4
mp-853206,670.3358878022898,Li3(CoO2)4
mp-24850,337.1272391462525,LiCoO2
mvc-15644,1589.855150257656,MgMoO3
mvc-15883,877.3888237740911,VZnO3
mp-1045708,793.1003646787544,Zn(WO3)2
mvc-4013,781.1562068466044,ZnWO3
mvc-3996,695.9861546117065,CaWO3
mvc-4001,1778.687732906747,ZnCrO3
mvc-3987,1839.187298853728,MgCrO3
mvc-15888,893.7724301506644,MgVO3
mvc-4002,1574.6072524434153,ZnMoO3
mvc-5026,1566.211207738016,MgWO3
mvc-2210,661.2659651492397,CaTi5O7
mp-1045850,310.9771846146355,Ba2CaMn2CuF14
mp-1045910,322.9183100723823,Ba2MgMn2CuF14
mp-1045867,323.194436723306,Ba2Mn2ZnCuF14
mp-1045776,670.6524531127194,AlV4(CuO4)3
mp-1045783,388.1516917252534,MgMn(PO3)4
mp-1045884,288.624104861363,Ba2CaCuMo2F14
mp-1045901,305.99913037218886,Ba2MgCuMo2F14
