sample_id,formula,working_ion,anion_family,target
mp-1044344,ZnCr3O7,Zn,oxide,1.1185018587500015
mp-765322,Li5MnCr3O8,Li,oxide,2.456571716666668
mp-2593,AlNi3,Al,other,1.1549285699999954
mvc-12557,Mg(FeO2)2,Mg,oxide,3.800224906249999
mp-1235780,LiLa4Ni3WO12,Li,oxide,-1.055460346666673
mp-1101736,LiFe3O4,Li,oxide,2.7434940533333334
mp-560956,Cs2KCrF6,K,halide,4.935958988000002
mp-770108,Na2NiCSO7,Na,sulfide,4.095511180000012
mp-1236025,Li(FeO2)8,Li,oxide,3.8167824233333407
mp-1331854,MgCr2O4,Mg,oxide,3.0197029950000003
mp-767218,Li9(NbS2)14,Li,sulfide,2.385911984444447
mp-1173584,RbMn6O12,other,oxide,3.885375832500016
mp-26907,LiCr(PO3)4,Li,phosphate_or_polyanion,5.676510653333314
mp-767775,Li6MnCr3(PO4)6,Li,phosphate_or_polyanion,4.359983651666667
mp-1264182,AlV4(CuO4)3,Al,oxide,1.427347986666663
mvc-10462,MgCu2(MoO4)2,Mg,oxide,2.5638507687500023
mp-763525,K8Li13(FeO4)4,Li,oxide,1.897276519999996
mp-753180,LiP2WO7,Li,phosphate_or_polyanion,3.9057097433333374
mp-772420,Li2Co3SnO8,Li,oxide,4.045099728333331
mp-21646,CaVNiP2O9,Ca,phosphate_or_polyanion,4.370948762499995
mp-25983,LiMo(PO4)2,Li,phosphate_or_polyanion,4.58017125666665
mp-763307,Li4Ti3Mn2Co3O16,Li,oxide,3.918390712499997
mp-1043887,CaLaFeBiO6,Ca,oxide,5.0068211775
mp-18776,CaCoP2O7,Ca,phosphate_or_polyanion,4.544677053750003
mp-764493,Li5Fe8(BO3)8,Li,phosphate_or_polyanion,2.601200850000031
mp-1348661,MgCu2(MoO4)2,Mg,oxide,2.5195919949999963
mp-765717,Li5VCr3O8,Li,oxide,1.8033838300000011
mp-831055,LiCrP2O7,Li,phosphate_or_polyanion,5.289534683333334
mp-31535,LiCoP2O7,Li,phosphate_or_polyanion,5.179208840000007
mp-1185628,Mg149Sb,Mg,other,0.0119416225675674
mp-867515,NaCoO2,Na,oxide,2.2238525765517245
mp-540237,Li14Ni9(P2O7)8,Li,phosphate_or_polyanion,5.066215665555551
mp-765781,LiVF5,Li,halide,4.873892218333336
mp-760031,LiVF5,Li,halide,4.61364929458333
mp-765346,LiV(SiO3)2,Li,phosphate_or_polyanion,3.374197618333331
mp-753374,LiVSiO4,Li,phosphate_or_polyanion,3.372263413333333
mp-705007,LiMo(PO3)4,Li,phosphate_or_polyanion,4.163988285833345
mp-760172,Na7Ti16O32,Na,oxide,1.6262186749999856
mp-1046855,Ca(SbO2)2,Ca,oxide,2.04028585125
mp-755196,LiV4O5F7,Li,halide,3.338086983333345
mp-764346,Li2FeSiO4,Li,phosphate_or_polyanion,2.867956095833333
mp-771034,Li3MnAsCO7,Li,oxide,3.2622135933333327
mp-764298,Na5(NiO2)9,Na,oxide,3.1146741735714505
mp-1003484,MgMn4O8,Mg,oxide,2.7056002499999936
mp-540254,Li2V(PO4)2,Li,phosphate_or_polyanion,4.119124585
mp-1043800,MgV2(PO5)2,Mg,phosphate_or_polyanion,3.091206950000005
mp-1178199,K3(Fe11O17)2,K,oxide,2.713432503
mp-1112353,Cs3SbCl6,other,halide,3.016537638706894
mp-559196,CaCr2(PO4)2,Ca,phosphate_or_polyanion,3.6061407875000056
mp-772415,Na2FeAsCO7,Na,oxide,4.3901152340517235
mp-775260,Li6CoCu3(PO4)4,Li,phosphate_or_polyanion,2.7659403183333255
mp-774516,Li8Mg3Cu9(SiO3)16,Li,phosphate_or_polyanion,3.602836092500004
mp-1233706,Sm4MgV4O12,Mg,oxide,-1.3025071600000002
mp-697792,LiMn2(PO4)3,Li,phosphate_or_polyanion,4.756025685000003
mp-1257684,Al2(CuSe2)3,Al,other,1.1332984600000011
mp-998896,YC,other,other,0.5370785855555557
mp-761283,Li5V5O9F,Li,halide,1.62719986333335
mp-770611,Li2CoH8(SO6)2,Li,sulfide,4.116843048333327
mp-761087,NaTiO2,Na,oxide,0.1115938615517218
mp-759476,Li4MnF7,Li,halide,4.610570633333336
mp-1048882,Mg(WO2)2,Mg,oxide,1.4379463525000036
mp-763629,Li2FeSiO4,Li,phosphate_or_polyanion,2.740108740000001
mp-554381,Ca2VBiO6,Ca,oxide,4.1036737975000035
mvc-11260,Ca(VS2)2,Ca,sulfide,1.28455582375
mp-763588,LiFe(CO3)2,Li,oxide,4.425962403333334
mp-554656,Li5VP2(O4F)2,Li,halide,3.6495458133333374
mp-764682,LiVOF3,Li,halide,4.075575989999999
mp-1222675,Li2VPO4F,Li,halide,2.813267343333334
mp-1392068,Mg2W3O8,Mg,oxide,1.7001837999999987
mp-1154662,Y2Si3(SnO4)3,other,phosphate_or_polyanion,2.5682371463888916
mp-551918,AlBiO3,Al,oxide,2.8328557074999985
mp-1101693,Na7Cr4(PO4)6,Na,phosphate_or_polyanion,3.700627154999997
mp-774351,Li3Cr3(CuO6)2,Li,oxide,4.058753904166669
mp-773275,Li4Ti3CrO8,Li,oxide,1.2256136400000108
mp-1041757,YBi(WO4)2,other,oxide,2.8527310005555577
mp-10159,K3Sb,K,other,0.6058390746666664
mvc-5089,ZnCr2O4,Zn,oxide,1.5966345768749988
mp-777603,LiMnCo3O8,Li,oxide,4.113650340000012
mp-1412720,Y(SnO2)2,other,oxide,1.3900530988888873
mp-22614,NaFe(GeO3)2,Na,oxide,4.856140101551727
mp-1372314,V2ZnO4,Zn,oxide,0.6624027599999998
mp-757143,Li2Mn3F10,Li,halide,3.904465598333336
mp-1045800,CaV(PO3)4,Ca,phosphate_or_polyanion,3.8174023499999974
mp-765791,Li2V3(OF)4,Li,halide,3.5692983150000024
mp-26853,LiCrP2O7,Li,phosphate_or_polyanion,5.29517127583333
mp-767526,Na3CuPCO7,Na,phosphate_or_polyanion,3.362398286551713
