sample_id,formula,working_ion,anion_family,target
mp-1042046,Ca(MoO2)2,Ca,oxide,220.56483669387984
mp-768106,Li4MnV(PO4)3,Li,phosphate_or_polyanion,90.46175139208437
mp-764381,Li4CuNi3O8,Li,oxide,323.49229909436923
mp-27035,LiCrP2O7,Li,phosphate_or_polyanion,381.6672859627648
mp-757833,Li2FeSiO4,Li,phosphate_or_polyanion,127.11662352361128
mp-1221227,Na3MnCoNiO6,Na,oxide,349.5644192535094
mp-758432,LiP3W2O13,Li,phosphate_or_polyanion,85.51149178617804
mp-771939,LiTi2Ni(PO5)2,Li,phosphate_or_polyanion,124.29661888589727
mp-767949,Li3Fe4(PO4)6,Li,phosphate_or_polyanion,99.89898304310148
mp-1367296,LiV4OF11,Li,halide,202.93981011552344
mp-25587,LiNiO2,Li,oxide,1181.5954092854552
mp-776705,LiV2OF5,Li,halide,404.9770088750756
mvc-11560,CaCr2O4,Ca,oxide,1040.4417893507036
mp-1046499,Ba2Mg2Tl2W3O10,Mg,oxide,558.3873037910761
mp-21966,NaNi4(PO4)3,Na,phosphate_or_polyanion,46.87619412682595
mp-1041135,HoMg(WO3)2,Mg,oxide,361.7474216567514
mp-1234029,La8Hf4MgO20,Mg,oxide,41.41706860760736
mp-1219672,Rb(Nb3Se4)2,other,other,69.43047930692373
mp-757896,Li7Mn14O32,Li,oxide,39.703968751118005
mp-1376390,Zn(NiO2)2,Zn,oxide,171.31528224928883
mp-753782,LiVF5,Li,halide,119.60937437349078
mp-759035,LiVF5,Li,halide,210.36660688435484
mp-774924,Li4Ti3Nb2Cr3O16,Li,oxide,587.5370461660132
mp-753227,LiCrO2,Li,oxide,99.49777339236896
mp-753113,Li4VF7,Li,halide,293.5281757314149
mp-778830,Li10Ti2Fe3Co3O16,Li,oxide,868.056311361219
mp-1113628,Rb3NiF6,other,halide,238.8443998659498
mp-780153,Li8FeO5F,Li,halide,328.2578307559156
mp-755860,Li4Cr3Sn3(SbO8)2,Li,oxide,527.1352704917583
mp-758042,Li4Fe3Co3(SbO8)2,Li,oxide,618.8890866072869
mp-556365,KCrF3,K,halide,285.8855547875846
mp-1046275,Sr2YCu2SbO7,other,oxide,731.5916734470658
mp-1042205,YCo(WO4)2,other,oxide,438.8595004768492
mp-780112,Li5Mn8(BO3)8,Li,phosphate_or_polyanion,11.011713632986336
mp-1044544,BaCaMn4O8,Ca,oxide,427.2132487305914
mp-26741,LiCu4(PO4)3,Li,phosphate_or_polyanion,97.38459074557218
mp-1116842,Ca2CrWO6,Ca,oxide,1474.442207559013
mp-557275,Ca3Mn2(Si2O7)2,Ca,phosphate_or_polyanion,78.68162677001284
mp-762583,Li3MnNi3O8,Li,oxide,316.20604448685583
mp-764340,Li2FeSiO4,Li,phosphate_or_polyanion,123.62820063182632
